,description,runtime,id,imdb_score,release_year,title,type
778,"A musically talented teenager returns to her native Buenos Aires with her father, Herman, after living in Europe for several years, navigating the trials and tribulations of growing up.",44,ts22188,5.0,2012,Violetta,SHOW
779,Tinkerbell wanders into the forbidden Winter woods and meets Periwinkle. Together they learn the secret of their wings and try to unite the warm fairies and the winter fairies to help Pixie Hollow.,92,tm69207,7.0,2012,Secret of the Wings,MOVIE
780,"Phineas and Ferb get trapped in an alternate dimension where the evil Doofenshmirtz rules the tri-state area. They must find a way back home with the help of their pet platypus named Perry, who they discover is a secret agent.",78,tm170139,7.4,2011,Phineas and Ferb: The Movie: Across the 2nd Dimension,MOVIE
781,"On December 10, 2010, Sotheby's auctioned off what could be considered the most important historical document in sports history -- James Naismith's original rules of basketball. ""There's No Place Like Home"" is the story of one man's fanatical quest to win this seminal American artifact at auction and bring the rules ""home"" to Lawrence, Kansas, where Naismith coached and taught for over 40 years.",61,tm70151,,2012,There's No Place Like Home,MOVIE
782,A fast food restaurant mini variant of Buzz forcibly switches places with the real Buzz and his friends have to deal with the obnoxious impostor.,7,tm166632,,2011,Small Fry,MOVIE
783,A nature documentary centered on a family of chimps living in the Ivory Coast and Ugandan rain forests.,75,tm45440,7.1,2012,Chimpanzee,MOVIE
784,What happens when three sets of BFF's become enemies?,86,tm56951,5.1,2012,Frenemies,MOVIE
785,"A beautiful love story in danger. Our future depends on an amazing love story between the flowers and fauna consisting of bees, butterflies, birds and bats, which allow these species to reproduce. Delicate and graceful, the flowers are not content to be the ultimate symbol of beauty. On the contrary, their vibrant colors and their exotic flavors are so many wonders that attract pollinators and drunk with desire. All these animals are involved in a complex dance of seduction on which one third of our crops, a dance without which we could survive ... Pollen presents the unsung heroes of the global food chain. Their fantastic worlds are full of stories, drama and beauty. While a fragile and threatened, essential for the balance of the planet, it should now actively protect ...",77,tm160861,7.4,2011,Wings of Life,MOVIE
786,"In this Oscar-nominated short from The Simpsons, Maggie must navigate an eventful first day in daycare. At the Ayn Rand School for Tots, Maggie is diagnosed with average intelligence. Barred from the gifted children, she longs to escape from her glue-guzzling classmates. But when a lonely caterpillar befriends her, she makes it her mission to save it from a ruthless butterfly smashing toddler",5,tm59057,,2012,Maggie Simpson in The Longest Daycare,MOVIE
787,"After a talent scout spots her performing with her dog Boi at a charity gala, Sharpay Evans sets off for the bright lights of NYC, convinced instant fame and fortune are in the bag. But theatre's a dog-eat-dog world. Fortunately, Sharpay also meets Peyton, a handsome student filmmaker who finds Sharpay nearly as fascinating as she finds herself.",90,tm165063,4.2,2011,Sharpay's Fabulous Adventure,MOVIE
788,"Cody and Zack are approached to join the Gemini Project, a high-tech research center studying the dynamics between twins. Shockingly, they find themselves interconnected in a whole new way! When one twin experiences something, the other twin feels it too. This newfound revelation helps them see eye to eye for the first time, and it puts them in more danger than they could have imagined.",79,tm176323,5.2,2011,The Suite Life Movie,MOVIE
789,"When Papi, Chloe, the pups, Uncle Pedro, and their owners move to a hotel, the smallest pup Rosa feels like she doesn't fit in, and Papi wants to make her feel better by showing her how special she is.",89,tm68510,,2012,Beverly Hills Chihuahua 3: Viva la Fiesta!,MOVIE
790,"Follow Cesar Millans rise from impoverished illegal immigrant to celebrity dog trainer to international superstar. Join Cesar as he embarks on his live world speaking tour, films his new television series in Spain and leads thousands of dogs and owners on a Pack Walk in Washington, D.C. Cesar reflects on his humble past, his family life and his ever-evolving philosophy, which inspires people to improve their relationships with their dogs while becoming the pack leader of their own lives.",45,tm68188,6.9,2012,Cesar Millan: The Real Story,MOVIE
791,"Amber, a mean popular girl who gets electrocuted and dies, is not allowed to enter into heaven unless she helps the least popular girl in school become Prom Queen within a week, but things do not go as planned.",81,tm174926,5.5,2011,Teen Spirit,MOVIE
792,The toys throw Ken and Barbie a Hawaiian vacation in Bonnie's room.,6,tm183850,,2011,Hawaiian Vacation,MOVIE
793,"A young teenage rapper must use his musical talent to help his friend out and win the girl of his dreams by going through several events of betrayal, trust and agreement while his religious parents have strictly dislike his interests.",101,tm69711,6.5,2012,Let It Shine,MOVIE
794,"""So Random"" has the biggest cast, the biggest stars, and the biggest laughs on Disney Channel! Nothing is off limits in this all new musical sketch comedy. Each episode features original skits, songs and parodies with celebrity guest stars like Tony Hawk, Mitchel Musso and Selena Gomez!",23,ts34269,4.7,2011,So Random!,SHOW
795,Skylar finds out that her parents are monster hunters after she accidentally releases some monsters from a secret containment chamber; so she and her techno friends must recapture all the monsters and also save her mom and dad from these monsters who are out for revenge.,89,tm40501,5.5,2012,Girl vs. Monster,MOVIE
796,"When Rex finds himself left behind in the bathroom, he puts his limbs to use by getting a bath going for a bunch of new toy friends.",7,tm64436,,2012,Partysaurus Rex,MOVIE
797,"A young boy comes of age in the most peculiar of circumstances. Tonight is the very first time his Papa and Grandpa are taking him to work. In an old wooden boat they row far out to sea, and with no land in sight, they stop and wait. A big surprise awaits the boy as he discovers his family's most unusual line of work. Should he follow the example of his Papa, or his Grandpa? Will he be able to find his own way in the midst of their conflicting opinions and timeworn traditions?",7,tm164519,,2012,La luna,MOVIE
798,"Teddy Duncan's middle-class family embarks on a road trip from their home in Denver to visit Mrs. Duncans Parents, the Blankenhoopers, in Palm Springs. When they find themselves stranded between Denver and Utah, they try to hitch a ride to Las Vegas with a seemingly normal older couple in a station wagon from Roswell, New Mexico. It turns out that the couple believes they are the victims of alien abduction. The Duncan's must resort to purchasing a clunker Yugo to get to Utah, have their luggage stolen in Las Vegas, and survive a zany Christmas with Grandpa and Grandma Blankenhooper.",85,tm160178,6.4,2011,"Good Luck Charlie, It's Christmas!",MOVIE
799,"When a clock lands on Mater's engine, he travels back in time to 1909 where he meets Stanley, an ambitious young car on his way to California. With the help of Lightning McQueen, Mater alters history by convincing Stanley to stay and build Radiator Springs. Stanley meets Lizzie and they commemorate the opening of the new courthouse with their wedding.",7,tm32685,,2012,Time Travel Mater,MOVIE
800,"African Cats captures the real-life love, humor and determination of the majestic kings of the savanna. The story features Mara, an endearing lion cub who strives to grow up with her mother’s strength, spirit and wisdom; Sita, a fearless cheetah and single mother of five mischievous newborns; and Fang, a proud leader of the pride who must defend his family from a once banished lion.",89,tm173633,7.5,2011,African Cats,MOVIE
801,Disney's irresistible talking puppies are back in an all-new movie that takes them far across town to a mysterious mansion where something very spooky is going on.,88,tm166883,,2011,Spooky Buddies,MOVIE
802,Mater's decision to fly lands him accidentally at a big airshow.,5,tm172720,,2011,Air Mater,MOVIE
803,"India is home to over a billion people with one fifth of the world's population on only 2% of the world's surface. Yet India still has a wild side, populated by giants, fierce predators, the rare and beautiful…all wrapped up in a land of extremes. 'Secrets of Wild India' celebrates the diversity and drama of India's extraordinary and varied landscapes. In this three-part series, each episode focus' on one iconic ecosystem, a snapshot of how life works in each unique environment.",49,ts78066,8.0,2012,Secrets of Wild India,SHOW
804,America's Greatest Animals takes us across North America on a revelatory mission: which of the continent's landmark creatures deserve to make the list?,96,tm895746,,2012,America's Greatest Animals,MOVIE
805,"Holly, blessed with an amazing singing voice, is all set to audition for the newly vacated spot in a legendary local Christmas group which was founded by her late mother years ago. Shocked and upset when the slot goes to the barely talented best friend of the group's leader, Marci, Holly sets out to create her own musical group, The Mistle-Tones. After challenging their rivals to a sing-off on Christmas Eve, Holly finds herself on a journey to the real meaning of Christmas with some new friends and a new love thrown in for good measure.",90,tm38369,6.5,2012,The Mistle-Tones,MOVIE
806,"Disney's irresistible talking puppies are back in an all-new movie that takes them halfway across the world to the ruins of ancient Egypt. With the help of some exotic new friends, this epic adventure is a treasure trove of pure Buddy fun. In a race against a devious cat, the Buddies and their new friends, Cammy and Babi, must avoid booby traps, solve puzzles and explore a mysterious tomb - all in search of the greatest treasure known to animalkind!",93,tm35507,,2012,Treasure Buddies,MOVIE
807,"A legendary and friendly creature named Nessie lives happily in a small pond with her friend MacQuack, a rubber duck. When a rich developer takes the pond and land surrounding it to build a miniature golf course, Nessie is forced to search for a new home.",6,tm184543,,2011,The Ballad of Nessie,MOVIE
808,"Lanny and Wayne are at it again! With the Big 2-5 fast approaching, Wayne and Lanny must race to recover classified North Pole technology which has fallen into the hands of a computer-hacking Naughty Kid! Desperate to prevent Christmas from descending into chaos, Wayne seeks out the foremost Naughty Kid expert to aid in the mission: a bombastic member of the Coal Bucket Brigade who also happens to be his estranged brother, Noel.",22,tm166745,7.3,2011,Prep & Landing: Naughty vs. Nice,MOVIE
809,"An all-new Disney holiday classic is born - Santa Paws 2: The Santa Pups. Starring a brand-new litter of the cutest talking pups ever - Hope, Jingle, Charity, and Noble - it's perfect for the whole family. When Mrs. Claus travels to Pineville, the playful Santa Pups stow away on her sled. Taking mischief to a whole new level, they begin granting joyful wishes to Pineville's boys and girls, but something goes terribly wrong - the Christmas spirit begins to disappear. Now the Santa Pups and Mrs. Claus must race to save Christmas around the world. From the creators of Disney Buddies, this magical, heartwarming tale is brimming with hope, cheer, and Christmas spirit.",88,tm71403,4.7,2012,Santa Paws 2: The Santa Pups,MOVIE
810,"Special Agent Oso: Three Healthy Steps is a short series that airs in the United States and the United Kingdom during the Disney Junior programming block. It encourages children to use ""three healthy steps"" regarding eating and exercising. Characters that are featured in the short series are Special Agent Oso, Paw Pilot, Special Agent Wolfie, Special Agent Dotty, and Professor Buffo. So far, fifteen episodes have aired:",2,ts176104,6.7,2011,Special Agent Oso: Three Healthy Steps,SHOW
811,The mysterious Fury gives viewers top-secret access to S.H.I.E.L.D. intel on key Marvel heroes and villains by bringing together a mix of animation and motion comic art.,3,ts237475,6.1,2012,Fury Files,SHOW
812,"Crushed, flooded and exploded into life – Europe is a battlefield of Nature. Discover the extraordinary and shocking geological story of how Europe was created by nature’s most titanic forces.",50,ts171975,7.2,2012,Birth of Europe,SHOW
813,Tim Laman a photographer for National Geographic and ornithologist Ed Scholes have been traveling to some of the most remote jungles the world has to offer in search of observing and photographing all 39 species of tropical bird. This particular group of birds are entitled as the “Birds of Paradise” and can be found in some of the last truly wild locations of New Guinea.,45,tm274612,6.4,2012,Winged Seduction: Birds of Paradise,MOVIE
814,"A family man struggles to gain a sense of cultural identity while raising his kids in a predominantly white, upper-middle-class neighborhood.",21,ts20813,7.1,2014,black-ish,SHOW
815,Famed astrophysicist Neil deGrasse Tyson provides clarity for the vision of the cosmos as he voyages across the universe with never-before-told stories that delve into the scientific concepts of the laws of gravity and the origins of space and time.,42,ts2709,,2014,Cosmos,SHOW
816,"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.",43,ts5,7.5,2013,Marvel's Agents of S.H.I.E.L.D.,SHOW
817,"In a woods filled with magic and fairy tale characters, a baker and his wife set out to end the curse put on them by their neighbor, a spiteful witch.",124,tm157149,5.9,2014,Into the Woods,MOVIE
818,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",120,tm140097,8.0,2014,Guardians of the Galaxy,MOVIE
819,An exploration of our discovery of the laws of nature and coordinates in space and time.,43,ts301931,9.3,2014,Cosmos: A Spacetime Odyssey,SHOW
820,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,131,tm155402,8.0,2014,X-Men: Days of Future Past,MOVIE
821,"Set between the events of Star Wars: Episodes III and IV, the story unfolds during a dark time when the evil Galactic Empire is tightening its grip of power on the galaxy. Imperial forces have occupied a remote planet and are ruining the lives of its people. The motley but clever crew of the starship Ghost — cowboy Jedi Kanan, ace pilot Hera, street-smart teenager Ezra, the “muscle” Zeb, warrior firebrand Sabine, and cantankerous old astromech droid Chopper — is among a select few who are brave enough to stand against the Empire. Together, they will face threatening new villains, encounter colorful adversaries, embark on thrilling adventures, and become heroes with the power to ignite a rebellion.",23,ts20726,8.0,2014,Star Wars Rebels,SHOW
822,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",126,tm141973,7.7,2014,The Fault in Our Stars,MOVIE
823,"Viewers go deep into an Alaskan winter to meet six tough and resilient residents as they try to stay one step ahead of storms and man-eating beasts to make it through to spring. The closest neighbor to Sue Aikens is more than 300 miles away. Eric Salitan subsists solely on what he hunts and forages. Chip and Agnes Hailstone catch fish for currency in bartering for supplies, and Andy and Kate Bassich use their pack of sled dogs for transportation.",46,ts20839,8.0,2013,Life Below Zero,SHOW
824,"The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",95,tm151689,7.2,2014,The Book of Life,MOVIE
825,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",102,tm148170,7.8,2014,Big Hero 6,MOVIE
826,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",112,tm179159,6.8,2013,Thor: The Dark World,MOVIE
827,"When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",97,tm153184,6.2,2014,Night at the Museum: Secret of the Tomb,MOVIE
828,"Author P.L. Travers looks back on her childhood while reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",125,tm168780,7.5,2013,Saving Mr. Banks,MOVIE
829,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",130,tm177964,7.1,2013,Iron Man 3,MOVIE
830,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",135,tm159149,7.8,2014,Captain America: The Winter Soldier,MOVIE
831,"The famed survivalist takes A-list celebrities on journeys into the wildest locations around the world, forcing the stars to push their bodies and minds to the limit to successfully complete the adventure of a lifetime.",43,ts20731,7.6,2014,Running Wild with Bear Grylls,SHOW
832,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",102,tm181359,7.4,2013,Frozen,MOVIE
833,"Hulk and the Agents of S.M.A.S.H. is an American cartoon series based on the superhero character by Marvel Comics. The series aired on August 11, 2013 on Disney XD. The series aired alongside Avengers Assemble and Ultimate Spider-Man as part of Disney XD's ""Marvel Universe"" television block.",23,ts20059,6.0,2013,Marvel’s Hulk and the Agents of S.M.A.S.H,SHOW
834,"On Oct. 17, 1989, at 5:04 p.m. PT, soon after Al Michaels and Tim McCarver started the ABC telecast for Game 3 of the World Series between the San Francisco Giants and the Oakland Athletics, the ground began to shake beneath Candlestick Park. Even before that moment, this had promised to be a memorable matchup: the first in 33 years between teams from the same metropolitan area, a battle featuring larger-than-life characters and equally colorful fan bases. But after the 6.9 Loma Prieta earthquake rolled through, bringing death and destruction, the Bay Area pulled together, and baseball took a backseat.",51,tm143057,,2014,The Day the Series Stopped,MOVIE
835,"The film takes place one year after the events of Captain America: The First Avenger, in which Agent Carter, a member of the Strategic Scientific Reserve, is in search of the mysterious Zodiac.",15,tm185712,,2013,Marvel One-Shot: Agent Carter,MOVIE
836,"The adventures of relatable and adventurous Riley Matthews, the tween daughter of Cory and Topanga Matthews, and her bold best friend Maya as they traverse the twists and turns of teenage years at Manhattan's John Quincy Adams Middle School where Riley's dad is their History teacher.",23,ts20133,7.1,2014,Girl Meets World,SHOW
837,"Alexander's day begins with gum stuck in his hair, followed by more calamities. Though he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother, and sister all find themselves living through their own terrible, horrible, no good, very bad day.",81,tm145004,6.2,2014,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",MOVIE
838,"The further adventures of the Marvel Universe's mightiest general membership superhero team. With an all-star roster consisting of Iron Man, Captain America, Thor, Hulk, Hawkeye, Falcon and, occasionally--when she feels like it and only when she feels like it--Black Widow, the Avengers are a team in the truest sense. The Avengers save the world from the biggest threats imaginable--threats no single super hero could withstand.",22,ts20042,7.0,2013,Marvel's Avengers Assemble,SHOW
839,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,104,tm186511,7.3,2013,Monsters University,MOVIE
840,"The exploits of identical twins Liv, a former television star back home in Wisconsin and in the process of adding movie star to her credits, as well as beginning to focus on her music career, and Maddie, an outstanding student and basketball phenomenon recovering from an injured knee. The series centers on the unbreakable bond the twins share though they have wildly different personalities. To complicate their teenage lives, both parents work at their high school and their younger brothers are always stirring up trouble.",23,ts20822,6.3,2013,Liv and Maddie,SHOW
841,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.",107,tm150979,6.4,2014,Muppets Most Wanted,MOVIE
842,"Dusty is a cropdusting plane who dreams of competing in a famous aerial race. The problem? He is hopelessly afraid of heights. With the support of his mentor Skipper and a host of new friends, Dusty sets off to make his dreams come true.",91,tm166468,5.7,2013,Planes,MOVIE
843,"In Victorian England, the young and beautiful Alice tells a tale of a strange new land that exists on the other side of a rabbit hole. Thinking Alice insane, her doctors aim to make her forget everything. While Alice is ready to put it all behind her, she knows this world is real. In the nick of time, the Knave of Hearts and the White Rabbit save her from a doomed fate. Together, the trio tumble down the rabbit hole to Wonderland, where nothing is impossible.",43,ts20027,6.9,2013,Once Upon a Time in Wonderland,SHOW
844,"Life's a beach for surfers Brady and McKenzie – until a rogue wave magically transports them inside the classic '60s beach party flick, ""Wet Side Story,"" where a full-blown rivalry between bikers and surfers threatens to erupt. There, amidst a sea of surfing, singing and dancing, Brady and Mack accidentally change the storyline, and the film’s dreamy hero and heroine fall for them instead of for each other! Can our heroes get the plot back on track, or will they be trapped there forever?",96,tm165905,6.0,2013,Teen Beach Movie,MOVIE
845,"An ancient myth of a massive creature sparks the curiosity of Tinker Bell and her good friend Fawn, an animal fairy who’s not afraid to break the rules to help an animal in need. But this creature is not welcome in Pixie Hollow — and the scout fairies are determined to capture the mysterious beast, who they fear will destroy their home. Fawn must convince her fairy friends to risk everything to rescue the NeverBeast.",76,tm139597,,2014,Tinker Bell and the Legend of the NeverBeast,MOVIE
846,"Spanning thousands of acres and incorporating hundreds of species of animals; Michelle Oakley’s veterinary practice is Yukon tough. There is no such thing as a typical day in Michelle’s practice. House calls can range from expelling dogs anal glands to getting chased down by the very large Arctic musk-ox. Accompanied by her teenage daughters and armed with humor as sharp as scalpel, Michelle deftly juggles being a full time Veterinarian, wife and doctor; taking us into unexplored and unexamined regions of the Yukon.",44,ts38704,8.4,2014,"Dr. Oakley, Yukon Vet",SHOW
847,"Major League Baseball has been transformed by the influx of Cuban players such as Aroldis Chapman, Yasiel Puig and Jose Abreu. But a special debt of gratitude is owed to two half-brothers, whose courage two decades ago paved the way for their stardom. ""Brothers in Exile"" tells the incredible story of Livan and Orlando ""El Duque"" Hernandez, who risked their lives to get off the island.",78,tm162413,,2014,Brothers in Exile,MOVIE
848,"This show combines cold hard science with some of the craziest, most spectacular and painful user generated clips ever recorded. Richard Hammond introduces all manner of mishaps featuring brave, if misguided individuals from around the world and then explains the science behind their failure and humiliation with the use of bespoke animations and super slo-mo cinematography. Every episode features between 50 and 60 clips of misadventure – ordinary folk making extraordinary mistakes. Each week watch stunts involving weightlifting, shooting guns or jumping over cars, that have gone wrong, paused, re-wound, and re-played and analysed to determine exactly what went wrong and why. Richard explains the physics, chemistry and biology at play, then presents forensic details to explain the stupidity that resulted in failure. He’ll look at everything including weight, volume, momentum, combustion and even how the brain operates. This is misadventure explained. This is the Science of Stupid.",22,ts43947,6.8,2014,Science of Stupid,SHOW
849,Meet car enthusiast and TV presenter Tim Shaw and master mechanic Fuzz Townshend as they join forces to rescue rusty classic vehicles from their garage prisons,44,ts8050,8.1,2013,Car S.O.S.,SHOW
850,"The Russo family and friends are headed to Tuscany, Italy, to meet their long lost relatives... but when Alex tries to prove she's more than a seemingly carefree young Wizard, she inadvertently conjures a spell that creates a Good Alex and an Evil Alex. When Evil Alex gets roped into a charming young wizard's foreboding plan to take over the world, Good Alex must find a way to save her family and humankind, which leads to a monumental battle between the two versions of herself - all atop the Tower of Pisa.",60,tm188534,6.3,2013,The Wizards Return: Alex vs. Alex,MOVIE
851,"The adventures of Wander, an eternally-optimistic intergalactic traveler and constant do-gooder, and his quick-tempered but loyal steed and best friend, Sylvia.  The friendliest face in outer space, Wander journeys across the galaxies to spread good cheer and to help anyone he can — much to his overly pragmatic stallion’s chagrin. Their fun-loving escapades often lead them to clash with the evil villain Lord Hater and his army of Watchdogs, who travel from planet to planet trying to make hate the order of the day. Together, the best friends travel through the cosmos, happening upon one freewheeling adventure after another and making new friends and foes.",18,ts35453,7.2,2013,Wander Over Yonder,SHOW
852,"In this series of cartoon shorts, Mickey Mouse finds himself in silly situations all around the world! From New York to Paris to Tokyo, Mickey experiences new adventures with his friends!",5,ts20151,8.1,2013,Mickey Mouse,SHOW
853,"What starts out as a fun road trip for the Toy Story gang takes an unexpected turn for the worse when the trip detours to a roadside motel. After one of the toys goes missing, the others find themselves caught up in a mysterious sequence of events that must be solved before they all suffer the same fate in this Toy Story of Terror.",22,tm159620,7.5,2013,Toy Story of Terror!,MOVIE
854,"Henry Hugglemonster is the story of a mischievous 5-year-old monster named Henry who loves adventures, discoveries, and being with his family. Each day brings new opportunities for Henry to explore his feelings and learn important life lessons about working with others, showing kindness, and getting along with siblings. Henry finds love and support from his parents, Daddo and Momma; and his brothers and sisters, Cobby , Summer, and Ivor.",24,ts39826,5.0,2013,Henry Hugglemonster,SHOW
855,The Emperor uses the information on the recovered Holocrons to launch devastating attacks on planets sympathetic to the Rebellion. Luke knows there's only one solution: a daring raid on Coruscant to get the Holocrons back.,22,tm375069,,2014,LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant,MOVIE
856,A documentary filmmaker interviews the now-famous Trevor Slattery from behind bars.,14,tm163543,,2014,Marvel One-Shot: All Hail the King,MOVIE
857,"Filmmakers Alastair Fothergill and Keith Scholey chronicle a year in the lives of an Alaskan brown bear named Sky and her cubs, Scout and Amber. Their saga begins as the bears emerge from hibernation at the end of winter. As time passes, the bear family must work together to find food and stay safe from other predators, especially other bears. Although their world is exciting, it is also risky, and the cubs' survival hinges on family togetherness.",78,tm160932,7.3,2014,Bears,MOVIE
858,"During a post-Christmas play date, the gang find themselves in uncharted territory when the coolest set of action figures ever turn out to be dangerously delusional. It's all up to Trixie, the triceratops, if the gang hopes to return to Bonnie's room in this Toy Story That Time Forgot.",22,tm155023,7.1,2014,Toy Story That Time Forgot,MOVIE
859,"A young girl and her blended family move to the small cottage town of Evermoor. All is well until sinister things start to happen, magic tapestries, an enchanted typewriter. Only a few of the strange things found in the town of Evermoor.",22,ts35339,6.1,2014,The Evermoor Chronicles,SHOW
860,"Seven millions years ago Hawaii rose from the sea a volcanic wasteland, how these islands transformed themselves into paradise is a story that defies the odds and challenges our expectations. Nat Geo WILD takes us on an untamed journey to Hawaii, a place that through an alchemy of fire, ice and water has become an experiment in creation.",44,ts75141,,2014,Wild Hawaii,SHOW
861,A kids' western centered on a kitty-cat sheriff whose job is to ensure that the town of Nice and Friendly Corners remains the friendliest town in the West.,21,ts20859,6.3,2013,Sheriff Callie's Wild West,SHOW
862,"Zoey is a talented dancer whose organized life is rudely disrupted when she moves in with her new step-dad and three step-brothers, until she discovers a dog-training app that can get boys to obey her every command. But she soon learns that it isn't the cure-all she had hoped for.",92,tm152954,5.1,2014,Zapped,MOVIE
863,"Iron Man and Captain America battle to keep the Red Skull and his triggerman, Taskmaster, from unleashing an army of Hydra Brutes on the world!  Sequel to the film ""Iron Man & Hulk: Heroes United"" and feature Iron Man teaming up with Captain America, it comes to accompany the live-action film ""Captain America: The Winter Soldier"".",71,tm154041,5.6,2014,Iron Man & Captain America: Heroes United,MOVIE
864,"The long, cold winter has just hit New England, and while the bluefin tuna season has come to an end in Gloucester, Mass., it’s just getting started in the Outer Banks of North Carolina. After a disappointing season, several of Gloucester’s top fishermen head south to try to salvage their finances by fishing for the elusive bluefin tuna in unfamiliar Carolina waters before the experienced locals beat them to the catch. It’s a whole new battlefield and the Northern captains must conquer new styles of fishing, treacherous waters and the wrath of the Outer Banks’ top fishermen. They’re gambling on what could be a massive payday … or a huge financial loss.",46,ts37726,6.0,2014,Wicked Tuna: Outer Banks,SHOW
865,"Infamous disappearances of ships and aircrafts, stories of lives lost — they’re all part of the legend of the 500,000-square-mile expanse of the Atlantic Ocean known as the Bermuda Triangle. In this one-hour special, National Geographic Channel explores the area’s ominous reputation by draining the water from it to see what exactly lies below the surface of the mythical triangle. With the aid of data from sophisticated sonar surveys, see what the ocean floor looks like below the Bermuda Triangle. Witness what strange geological features will be revealed and whether they will shed light on the mysterious occurrences that have been documented within the boundaries of this area of ocean.",50,tm270622,6.4,2014,Drain the Bermuda Triangle,MOVIE
866,Larry's daughter wants only one thing for Christmas - a talking bear. His daughter's step-dad intends to make sure that Larry can't get one.,93,tm149931,,2014,Jingle All the Way 2,MOVIE
867,Phineas and Ferb become the galaxy's unlikeliest last hope when they must return the Death Star plans to the Rebel Alliance.,51,tm241486,,2014,Phineas and Ferb: Star Wars,MOVIE
868,"The Invincible Iron Man and the Incredible Hulk must join forces to save the Earth from its greatest threat yet! When two Hydra scientists try to supercharge a Stark Arc Reactor with Hulk's Gamma Energy, they unleash a being of pure electricity called Zzzax - and he's hungry for destruction. Together, Iron Man and Hulk are the only force that stands in the way of the Zzzax's planetary blackout. But first, the super heroic duo will have to get through snarling Wendigos, deadly robots and the scaly powerhouse, Abomination.  Can two of Marvel's mightiest heroes find a way to work together without smashing each other before time runs out?",71,tm179151,,2013,Iron Man & Hulk: Heroes United,MOVIE
869,"Inspired by the isolated beauty of tropical islands and the explosive allure of ocean volcanoes, Lava is a musical love story that takes place over millions of years.",7,tm142414,,2014,Lava,MOVIE
870,"Follow Dr Susan Kelleher and staff as they treat all forms of exotic animals at her, hospital in Deerfield Beach, FL",43,ts150852,8.1,2014,Dr K's Exotic Animal ER,SHOW
871,"When world-famous air racer Dusty learns that his engine is damaged and he may never race again, he must shift gears and is launched into the world of aerial firefighting. Dusty joins forces with veteran fire and rescue helicopter Blade Ranger and his team, a bunch of all-terrain vehicles known as The Smokejumpers. Together, the fearless team battles a massive wildfire, and Dusty learns what it takes to become a true hero.",83,tm145734,6.0,2014,Planes: Fire & Rescue,MOVIE
872,Four families will compete each week to transform their homes for the holidays in just 21 days.,45,ts77191,6.4,2013,The Great Christmas Light Fight,SHOW
873,"This Oscar-winning animated short film tells the story of one man's love life as seen through the eyes of his best friend and dog, Winston, and revealed bite by bite through the meals they share.",6,tm141959,8.1,2014,Feast,MOVIE
874,"Terror-filled deep sea saga using underwater photography, gripping news archives & paralyzing testimony to investigate three mysterious and deadly recent shark attacks.",44,ts159834,6.7,2013,When Sharks Attack,SHOW
